"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-5.249440074E-1,1.749600023E-1,-5.213450193E-1,7.602485400E-1
6.534840000E-2,-4.589560032E-1,1.455609947E-1,-5.253599882E-1,7.126231355E-1
7.034751500E-2,-4.611360133E-1,1.286019981E-1,-5.369629860E-1,7.193845599E-1
7.534663200E-2,-4.611360133E-1,1.286019981E-1,-5.369629860E-1,7.193845599E-1
8.034586300E-2,-4.611360133E-1,1.286019981E-1,-5.369629860E-1,7.193845599E-1
8.534509400E-2,-4.611360133E-1,1.286019981E-1,-5.369629860E-1,7.193845599E-1
9.034443900E-2,-4.270650148E-1,9.067200124E-2,-2.943499982E-1,5.265433127E-1
9.534378600E-2,-4.270650148E-1,9.067200124E-2,-2.943499982E-1,5.265433127E-1
1.003419760E-1,-4.270650148E-1,9.067200124E-2,-2.943499982E-1,5.265433127E-1
1.053401710E-1,-4.270650148E-1,9.067200124E-2,-2.943499982E-1,5.265433127E-1
1.103385940E-1,-3.489649892E-1,4.997099936E-2,-8.760900050E-2,3.632478512E-1
1.153370170E-1,-3.489649892E-1,4.997099936E-2,-8.760900050E-2,3.632478512E-1
1.203356420E-1,-3.489649892E-1,4.997099936E-2,-8.760900050E-2,3.632478512E-1
1.253342570E-1,-3.489649892E-1,4.997099936E-2,-8.760900050E-2,3.632478512E-1
1.303328720E-1,-2.649469972E-1,1.367400028E-2,6.008800119E-2,2.720192226E-1
1.353314870E-1,-2.649469972E-1,1.367400028E-2,6.008800119E-2,2.720192226E-1
1.403305830E-1,-2.649469972E-1,1.367400028E-2,6.008800119E-2,2.720192226E-1
1.453296980E-1,-2.649469972E-1,1.367400028E-2,6.008800119E-2,2.720192226E-1
1.503290590E-1,-1.920520067E-1,-2.011499926E-2,1.915870011E-1,2.720186859E-1
1.553284060E-1,-1.920520067E-1,-2.011499926E-2,1.915870011E-1,2.720186859E-1
1.603273670E-1,-1.920520067E-1,-2.011499926E-2,1.915870011E-1,2.720186859E-1
1.653263300E-1,-1.920520067E-1,-2.011499926E-2,1.915870011E-1,2.720186859E-1
1.703244780E-1,-1.415610015E-1,-4.665999860E-2,3.116340041E-1,3.454452564E-1
1.753226310E-1,-1.415610015E-1,-4.665999860E-2,3.116340041E-1,3.454452564E-1
1.803215120E-1,-1.415610015E-1,-4.665999860E-2,3.116340041E-1,3.454452564E-1
1.853203970E-1,-1.415610015E-1,-4.665999860E-2,3.116340041E-1,3.454452564E-1
1.903201270E-1,-1.103409976E-1,-6.510300189E-2,4.174860120E-1,4.367013932E-1
1.953198580E-1,-1.103409976E-1,-6.510300189E-2,4.174860120E-1,4.367013932E-1
2.003181500E-1,-1.103409976E-1,-6.510300189E-2,4.174860120E-1,4.367013932E-1
2.053164590E-1,-1.103409976E-1,-6.510300189E-2,4.174860120E-1,4.367013932E-1
2.103149210E-1,-8.309300244E-2,-7.683899999E-2,4.970969856E-1,5.098177047E-1
2.153133820E-1,-8.309300244E-2,-7.683899999E-2,4.970969856E-1,5.098177047E-1
2.203112030E-1,-8.309300244E-2,-7.683899999E-2,4.970969856E-1,5.098177047E-1
2.253090120E-1,-8.309300244E-2,-7.683899999E-2,4.970969856E-1,5.098177047E-1
2.303076660E-1,-5.641600117E-2,-9.380400181E-2,5.557119846E-1,5.663901180E-1
2.353063190E-1,-5.641600117E-2,-9.380400181E-2,5.557119846E-1,5.663901180E-1
2.403039580E-1,-5.641600117E-2,-9.380400181E-2,5.557119846E-1,5.663901180E-1
2.453016130E-1,-5.641600117E-2,-9.380400181E-2,5.557119846E-1,5.663901180E-1
2.503010380E-1,-3.734999895E-2,-1.106519997E-1,5.968430042E-1,6.081615403E-1
2.553004590E-1,-3.734999895E-2,-1.106519997E-1,5.968430042E-1,6.081615403E-1
2.602987270E-1,-3.734999895E-2,-1.106519997E-1,5.968430042E-1,6.081615403E-1
2.652969980E-1,-3.734999895E-2,-1.106519997E-1,5.968430042E-1,6.081615403E-1
2.702958060E-1,-1.736599952E-2,-1.200810000E-1,6.153270006E-1,6.271748896E-1
2.752946130E-1,-1.736599952E-2,-1.200810000E-1,6.153270006E-1,6.271748896E-1
2.802927420E-1,-1.736599952E-2,-1.200810000E-1,6.153270006E-1,6.271748896E-1
2.852908570E-1,-1.736599952E-2,-1.200810000E-1,6.153270006E-1,6.271748896E-1
2.902893580E-1,-5.469999742E-4,-1.141809970E-1,5.910609961E-1,6.019889537E-1
2.952878570E-1,-5.469999742E-4,-1.141809970E-1,5.910609961E-1,6.019889537E-1
3.002862510E-1,-5.469999742E-4,-1.141809970E-1,5.910609961E-1,6.019889537E-1
3.052846760E-1,-5.469999742E-4,-1.141809970E-1,5.910609961E-1,6.019889537E-1
3.102833290E-1,2.221900038E-2,-9.966599941E-2,5.398730040E-1,5.494450435E-1
3.152819820E-1,2.221900038E-2,-9.966599941E-2,5.398730040E-1,5.494450435E-1
3.202801350E-1,2.221900038E-2,-9.966599941E-2,5.398730040E-1,5.494450435E-1
3.252782900E-1,2.221900038E-2,-9.966599941E-2,5.398730040E-1,5.494450435E-1
3.302765850E-1,4.655399919E-2,-6.792400032E-2,4.688960016E-1,4.760718485E-1
3.352748920E-1,4.655399919E-2,-6.792400032E-2,4.688960016E-1,4.760718485E-1
3.402729960E-1,4.655399919E-2,-6.792400032E-2,4.688960016E-1,4.760718485E-1
3.452711130E-1,4.655399919E-2,-6.792400032E-2,4.688960016E-1,4.760718485E-1
3.502694210E-1,7.315500081E-2,-3.079400025E-2,3.983620107E-1,4.061923389E-1
3.552677280E-1,7.315500081E-2,-3.079400025E-2,3.983620107E-1,4.061923389E-1
3.602659190E-1,7.315500081E-2,-3.079400025E-2,3.983620107E-1,4.061923389E-1
3.652641120E-1,7.315500081E-2,-3.079400025E-2,3.983620107E-1,4.061923389E-1
3.702630360E-1,1.057650000E-1,4.939999781E-4,3.620789945E-1,3.772103889E-1
3.752619590E-1,1.057650000E-1,4.939999781E-4,3.620789945E-1,3.772103889E-1
3.802612030E-1,1.057650000E-1,4.939999781E-4,3.620789945E-1,3.772103889E-1
3.852604340E-1,1.057650000E-1,4.939999781E-4,3.620789945E-1,3.772103889E-1
3.902592030E-1,1.434839964E-1,2.243999951E-2,3.740029931E-1,4.012099820E-1
3.952579740E-1,1.434839964E-1,2.243999951E-2,3.740029931E-1,4.012099820E-1
4.002564060E-1,1.434839964E-1,2.243999951E-2,3.740029931E-1,4.012099820E-1
4.052548670E-1,1.434839964E-1,2.243999951E-2,3.740029931E-1,4.012099820E-1
4.102531370E-1,1.749189943E-1,4.161300138E-2,4.200839996E-1,4.569451424E-1
4.152514060E-1,1.749189943E-1,4.161300138E-2,4.200839996E-1,4.569451424E-1
4.202491130E-1,1.749189943E-1,4.161300138E-2,4.200839996E-1,4.569451424E-1
4.252468060E-1,1.749189943E-1,4.161300138E-2,4.200839996E-1,4.569451424E-1
